name,rings,min,game,min/ring,game/rings,min/game
Gene Conley,1,1298.0,84,1298.0,84.0,15.452380952380953
Bob Cousy,3,7761.0,264,2587.0,88.0,29.397727272727273
Gene Guarilia,3,685.0,86,228.33333333333334,28.666666666666668,7.965116279069767
Tom Heinsohn,5,12122.0,431,2424.4,86.2,28.125290023201856
K.C. Jones,6,15110.0,550,2518.3333333333335,91.66666666666667,27.472727272727273
Sam Jones,8,22252.0,711,2781.5,88.875,31.296765119549928
Jim Loscutoff,4,3746.0,304,936.5,76.0,12.322368421052632
Frank Ramsey,4,7599.0,356,1899.75,89.0,21.34550561797753
Bill Russell,8,32244.0,734,4030.5,91.75,43.9291553133515
Thomas Sanders,8,19132.0,725,2391.5,90.625,26.38896551724138
Bill Sharman,1,1799.0,71,1799.0,71.0,25.338028169014084
Carl Braun,1,456.0,54,456.0,54.0,8.444444444444445
Gary Phillips,1,745.0,73,745.0,73.0,10.205479452054794
John Havlicek,8,25610.0,742,3201.25,92.75,34.514824797843666
Clyde Lovellette,2,1085.0,117,542.5,58.5,9.273504273504274
Dan Swartz,1,339.0,40,339.0,40.0,8.475
Johnny McCarthy,1,214.0,29,214.0,29.0,7.379310344827586
Willie Naulls,3,4739.0,253,1579.6666666666667,84.33333333333333,18.731225296442688
Larry Siegfried,5,8995.0,385,1799.0,77.0,23.363636363636363
Ron Bonham,2,710.0,85,355.0,42.5,8.352941176470589
Mel Counts,2,1705.0,135,852.5,67.5,12.62962962962963
Robert Nordmann,1,25.0,3,25.0,3.0,8.333333333333334
John Thompson,2,803.0,80,401.5,40.0,10.0375
Gerry Ward,1,30.0,3,30.0,3.0,10.0
Si Green,1,92.0,10,92.0,10.0,9.2
Don Nelson,5,9641.0,486,1928.2,97.2,19.837448559670783
Woody Sauldsberry,1,530.0,39,530.0,39.0,13.58974358974359
Ron Watts,1,3.0,1,3.0,1.0,3.0
Wilt Chamberlain,2,8572.0,193,4286.0,96.5,44.41450777202073
Larry Costello,1,1001.0,51,1001.0,51.0,19.627450980392158
Billy Cunningham,1,2507.0,96,2507.0,96.0,26.114583333333332
Dave Gambee,1,781.0,68,781.0,68.0,11.485294117647058
Hal Greer,1,3774.0,95,3774.0,95.0,39.72631578947368
Matt Guokas,1,1060.0,84,1060.0,84.0,12.619047619047619
Lucious Jackson,1,2920.0,96,2920.0,96.0,30.416666666666668
Wali Jones,1,2725.0,96,2725.0,96.0,28.385416666666668
Bill Melchionni,1,697.0,74,697.0,74.0,9.41891891891892
Chet Walker,1,3242.0,96,3242.0,96.0,33.770833333333336
Bob Weiss,1,33.0,7,33.0,7.0,4.714285714285714
Wayne Embry,1,1250.0,94,1250.0,94.0,13.297872340425531
Mal Graham,2,914.0,77,457.0,38.5,11.87012987012987
Bailey Howell,2,6476.0,197,3238.0,98.5,32.87309644670051
Johnny Jones,1,485.0,56,485.0,56.0,8.660714285714286
Tom Thacker,1,863.0,82,863.0,82.0,10.524390243902438
Rick Weitzman,1,80.0,28,80.0,28.0,2.857142857142857
Jim Barnes,1,706.0,59,706.0,59.0,11.966101694915254
Emmette Bryant,1,1995.0,98,1995.0,98.0,20.357142857142858
Don Chaney,2,3037.0,126,1518.5,63.0,24.103174603174605
Rich Johnson,1,167.0,33,167.0,33.0,5.0606060606060606
Dick Barnett,2,4017.0,156,2008.5,78.0,25.75
Nate Bowman,1,872.0,99,872.0,99.0,8.808080808080808
Bill Bradley,2,6299.0,185,3149.5,92.5,34.04864864864865
Dave DeBusschere,2,6787.0,192,3393.5,96.0,35.348958333333336
Walt Frazier,2,7820.0,191,3910.0,95.5,40.94240837696335
Wilmer Hosket,1,264.0,41,264.0,41.0,6.439024390243903
Phil Jackson,2,1731.0,97,865.5,48.5,17.84536082474227
Don May,1,245.0,39,245.0,39.0,6.282051282051282
Willis Reed,2,6183.0,185,3091.5,92.5,33.42162162162162
Mike Riordan,1,1973.0,100,1973.0,100.0,19.73
Cazzie Russell,1,1869.0,97,1869.0,97.0,19.2680412371134
Dave Stallworth,1,1650.0,101,1650.0,101.0,16.336633663366335
Johnny Warren,1,294.0,54,294.0,54.0,5.444444444444445
Kareem Abdul-Jabbar,6,20062.0,581,3343.6666666666665,96.83333333333333,34.53012048192771
Lucius Allen,1,1474.0,75,1474.0,75.0,19.653333333333332
Bob Boozer,1,2058.0,94,2058.0,94.0,21.893617021276597
Dick Cunningham,1,764.0,90,764.0,90.0,8.488888888888889
Bob Dandridge,2,6920.0,187,3460.0,93.5,37.00534759358289
Bob Greacen,1,59.0,9,59.0,9.0,6.555555555555555
Jon McGlocklin,1,3382.0,96,3382.0,96.0,35.229166666666664
Oscar Robertson,1,3714.0,95,3714.0,95.0,39.09473684210526
Greg Smith,1,2882.0,96,2882.0,96.0,30.020833333333332
Jeff Webb,1,323.0,38,323.0,38.0,8.5
Marv Winkler,1,22.0,8,22.0,8.0,2.75
Bill Zopf,1,398.0,53,398.0,53.0,7.509433962264151
Elgin Baylor,1,239.0,9,239.0,9.0,26.555555555555557
Jim Cleamons,1,218.0,44,218.0,44.0,4.954545454545454
Leroy Ellis,1,1215.0,87,1215.0,87.0,13.96551724137931
Keith Erickson,1,262.0,15,262.0,15.0,17.466666666666665
Gail Goodrich,1,3615.0,97,3615.0,97.0,37.2680412371134
Happy Hairston,1,3325.0,95,3325.0,95.0,35.0
Jim McMillian,1,3674.0,95,3674.0,95.0,38.67368421052632
Pat Riley,1,1170.0,82,1170.0,82.0,14.268292682926829
Flynn Robinson,1,1079.0,71,1079.0,71.0,15.19718309859155
John Trapp,1,830.0,68,830.0,68.0,12.205882352941176
Jerry West,1,3581.0,92,3581.0,92.0,38.92391304347826
Henry Bibby,1,518.0,61,518.0,61.0,8.491803278688524
John Gianelli,1,571.0,59,571.0,59.0,9.677966101694915
Jerry Lucas,1,2369.0,88,2369.0,88.0,26.920454545454547
Dean Meminger,1,1776.0,97,1776.0,97.0,18.309278350515463
Earl Monroe,1,2874.0,91,2874.0,91.0,31.582417582417584
Luke Rackley,1,2.0,1,2.0,1.0,2.0
Tom Riker,1,65.0,14,65.0,14.0,4.642857142857143
Harthorne Wingo,1,71.0,16,71.0,16.0,4.4375
Dave Cowens,2,8023.0,194,4011.5,97.0,41.355670103092784
Steve Downing,1,141.0,25,141.0,25.0,5.64
Hank Finkel,1,473.0,68,473.0,68.0,6.955882352941177
Phil Hankinson,1,168.0,30,168.0,30.0,5.6
Steve Kuberski,1,1054.0,87,1054.0,87.0,12.114942528735632
Paul Silas,3,8951.0,298,2983.6666666666665,99.33333333333333,30.036912751677853
Paul Westphal,1,1406.0,100,1406.0,100.0,14.06
Jojo White,2,8051.0,200,4025.5,100.0,40.255
Arthur Williams,1,713.0,79,713.0,79.0,9.025316455696203
Rick Barry,1,3961.0,97,3961.0,97.0,40.83505154639175
Butch Beard,1,2969.0,99,2969.0,99.0,29.98989898989899
Steve Bracey,1,354.0,46,354.0,46.0,7.695652173913044
Derrek Dickey,1,2116.0,95,2116.0,95.0,22.273684210526316
Charles Dudley,1,868.0,80,868.0,80.0,10.85
Charlie Johnson,1,2679.0,96,2679.0,96.0,27.90625
George Johnson,1,1760.0,99,1760.0,99.0,17.77777777777778
Frank Kendrick,1,121.0,24,121.0,24.0,5.041666666666667
Jeff Mullins,1,1454.0,83,1454.0,83.0,17.518072289156628
Clifford Ray,1,3014.0,99,3014.0,99.0,30.444444444444443
Phil Smith,1,1290.0,90,1290.0,90.0,14.333333333333334
Jamaal Wilkes,4,10983.0,335,2745.75,83.75,32.78507462686567
Jerome Anderson,1,131.0,26,131.0,26.0,5.038461538461538
Jim Ard,1,963.0,97,963.0,97.0,9.927835051546392
Tom Boswell,1,278.0,38,278.0,38.0,7.315789473684211
Glenn McDonald,1,1087.0,88,1087.0,88.0,12.352272727272727
Charlie Scott,1,3545.0,100,3545.0,100.0,35.45
Ed Searcy,1,12.0,4,12.0,4.0,3.0
Kevin Stacom,1,1309.0,94,1309.0,94.0,13.925531914893616
Corky Calhoun,1,837.0,82,837.0,82.0,10.207317073170731
Johnny Davis,1,1887.0,95,1887.0,95.0,19.86315789473684
