year,season,team_id,team_abv,team_name
1960,1960-61,1610612737,STL,St. Louis Hawks
1961,1961-62,1610612747,LAL,Los Angeles Lakers
1962,1962-63,1610612747,LAL,Los Angeles Lakers
1963,1963-64,1610612744,SFW,San Francisco Warriors
1964,1964-65,1610612747,LAL,Los Angeles Lakers
1965,1965-66,1610612747,LAL,Los Angeles Lakers
1966,1966-67,1610612744,SFW,San Francisco Warriors
1967,1967-68,1610612747,LAL,Los Angeles Lakers
1968,1968-69,1610612747,LAL,Los Angeles Lakers
1969,1969-70,1610612747,LAL,Los Angeles Lakers
1970,1970-71,1610612764,BLT,Baltimore Bullets
1971,1971-72,1610612752,NYK,New York Knicks
1972,1972-73,1610612747,LAL,Los Angeles Lakers
1973,1973-74,1610612749,MIL,Milwaukee Bucks
1974,1974-75,1610612764,WAS,Washington Bullets
1975,1975-76,1610612756,PHX,Phoenix Suns
1976,1976-77,1610612755,PHL,Philadelphia 76ers
1977,1977-78,1610612760,SEA,Seattle SuperSonics
1978,1978-79,1610612764,WAS,Washington Bullets
1979,1979-80,1610612755,PHL,Philadelphia 76ers
1980,1980-81,1610612745,HOU,Houston Rockets
1981,1981-82,1610612755,PHL,Philadelphia 76ers
1982,1982-83,1610612747,LAL,Los Angeles Lakers
1983,1983-84,1610612747,LAL,Los Angeles Lakers
1984,1984-85,1610612738,BOS,Boston Celtics
1985,1985-86,1610612745,HOU,Houston Rockets
1986,1986-87,1610612738,BOS,Boston Celtics
1987,1987-88,1610612765,DET,Detroit Pistons
1988,1988-89,1610612747,LAL,Los Angeles Lakers
1989,1989-90,1610612757,POR,Portland Trail Blazers
1990,1990-91,1610612747,LAL,Los Angeles Lakers
1991,1991-92,1610612757,POR,Portland Trail Blazers
1992,1992-93,1610612756,PHX,Phoenix Suns
1993,1993-94,1610612752,NYK,New York Knicks
1994,1994-95,1610612753,ORL,Orlando Magic
1995,1995-96,1610612760,SEA,Seattle SuperSonics
1996,1996-97,1610612762,UTA,Utah Jazz
1997,1997-98,1610612762,UTA,Utah Jazz
1998,1998-99,1610612752,NYK,New York Knicks
1999,1999-00,1610612754,IND,Indiana Pacers
2000,2000-01,1610612755,PHI,Philadelphia 76ers
2001,2001-02,1610612751,NJN,New Jersey Nets
2002,2002-03,1610612751,NJN,New Jersey Nets
2003,2003-04,1610612747,LAL,Los Angeles Lakers
2004,2004-05,1610612765,DET,Detroit Pistons
2005,2005-06,1610612742,DAL,Dallas Mavericks
2006,2006-07,1610612739,CLE,Cleveland Cavaliers
2007,2007-08,1610612747,LAL,Los Angeles Lakers
2008,2008-09,1610612753,ORL,Orlando Magic
2009,2009-10,1610612738,BOS,Boston Celtics
2010,2010-11,1610612748,MIA,Miami Heat
2011,2011-12,1610612760,OKC,Oklahoma City Thunder
2012,2012-13,1610612759,SAS,San Antonio Spurs
2013,2013-14,1610612748,MIA,Miami Heat
2014,2014-15,1610612739,CLE,Cleveland Cavaliers
2015,2015-16,1610612744,GSW,Golden State Warriors
2016,2016-17,1610612739,CLE,Cleveland Cavaliers
2017,2017-18,1610612739,CLE,Cleveland Cavaliers
2018,2018-19,1610612744,GSW,Golden State Warriors
2019,2019-20,1610612748,MIA,Miami Heat
2020,2020-21,1610612756,PHX,Phoenix Suns
2021,2021-22,1610612738,BOS,Boston Celtics
2022,2022-23,1610612748,MIA,Miami Heat
